antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'tenaga_kerja_laki_laki_high', 'tahun_berdiri_high'})",frozenset({'biaya_karyawan_high'}),0.23790917133588912,0.5,0.1792244175759363,0.7533312674310505,1.506662534862101,0.06026983190799173,2.0270100502512562,0.44126153083695663
"frozenset({'biaya_karyawan_high', 'omset_high', 'laba_high'})",frozenset({'tenaga_kerja_perempuan_high'}),0.2370244765555883,0.4941020347979947,0.17598053671483338,0.7424572317262831,1.5026394943502392,0.058866260551787605,1.9643260363821824,0.43842085493608635
"frozenset({'biaya_karyawan_high', 'laba_high'})",frozenset({'tenaga_kerja_perempuan_high'}),0.2484517841344736,0.4941020347979947,0.18445886169271603,0.742433234421365,1.5025909268414495,0.061698329602680485,1.964143021579214,0.44505843235946857
"frozenset({'biaya_karyawan_high', 'tahun_berdiri_high'})",frozenset({'tenaga_kerja_perempuan_high'}),0.2452079032733707,0.4941020347979947,0.18202595104688882,0.7423331328923631,1.5023883340125357,0.060868227090966495,1.9633799676334527,0.44302680054318394
"frozenset({'tenaga_kerja_laki_laki_high', 'omset_high', 'laba_high'})",frozenset({'biaya_karyawan_high'}),0.23311707460925982,0.5,0.1750958419345326,0.7511068943706515,1.502213788741303,0.058537304629902684,2.008894536213469,0.43594110444347745
"frozenset({'biaya_karyawan_high', 'omset_high'})",frozenset({'tenaga_kerja_perempuan_high'}),0.24793571217929813,0.4941020347979947,0.18379534060749042,0.7413024085637824,1.500302278388413,0.06128980072060926,1.955557306867062,0.443403120738853
"frozenset({'biaya_karyawan_high', 'jumlah_pelanggan_high'})",frozenset({'tenaga_kerja_perempuan_high'}),0.24719846652904748,0.4941020347979947,0.1832055440872899,0.7411273486430063,1.499947979258988,0.06106427877634356,1.9542348817077466,0.4427597412897718
frozenset({'tenaga_kerja_perempuan_high'}),frozenset({'biaya_karyawan_high'}),0.4941020347979947,0.5,0.37046593925095844,0.7497761862130707,1.4995523724261415,0.1234149218519611,1.9982110912343471,0.6585010244609075
frozenset({'biaya_karyawan_high'}),frozenset({'tenaga_kerja_perempuan_high'}),0.5,0.4941020347979947,0.37046593925095844,0.7409318785019169,1.4995523724261415,0.1234149218519611,1.9527603870233354,0.666268656716418
"frozenset({'tenaga_kerja_laki_laki_high', 'laba_high'})",frozenset({'biaya_karyawan_high'}),0.2447655558832203,0.5,0.18342671778236508,0.7493975903614457,1.4987951807228914,0.06104393984075493,1.995192307692307,0.4406544619954775
"frozenset({'tenaga_kerja_perempuan_high', 'aset_high'})",frozenset({'biaya_karyawan_high'}),0.2484517841344736,0.5,0.18600707755824242,0.7486646884272997,1.4973293768545994,0.061781185491005614,1.989374262101535,0.4419467250131437
"frozenset({'tenaga_kerja_perempuan_high', 'jumlah_pelanggan_high'})",frozenset({'biaya_karyawan_high'}),0.2451341787083456,0.5,0.1832055440872899,0.7473684210526317,1.4947368421052634,0.06063845473311709,1.9791666666666674,0.43846986597777904
"frozenset({'tenaga_kerja_laki_laki_high', 'omset_high'})",frozenset({'biaya_karyawan_high'}),0.24542907696844588,0.5,0.18335299321734003,0.7470711925503155,1.494142385100631,0.06063845473311709,1.9768408551068892,0.4382884796741788
"frozenset({'tenaga_kerja_laki_laki_high', 'aset_high'})",frozenset({'biaya_karyawan_high'}),0.24660867000884695,0.5,0.18409023886759068,0.7464872944693572,1.4929745889387145,0.06078590386316721,1.9722877358490565,0.43827984519871843
"frozenset({'biaya_karyawan_high', 'tahun_berdiri_high'})",frozenset({'tenaga_kerja_laki_laki_high'}),0.2452079032733707,0.48982601002654086,0.1792244175759363,0.7309079975947084,1.4921788198938326,0.059115208688567164,1.8959091515661737,0.4369932263707472
frozenset({'tenaga_kerja_laki_laki_high'}),frozenset({'biaya_karyawan_high'}),0.48982601002654086,0.5,0.3652314951341787,0.7456351595424442,1.4912703190848884,0.12031849012090826,1.9656804733727802,0.6457223800000466
frozenset({'biaya_karyawan_high'}),frozenset({'tenaga_kerja_laki_laki_high'}),0.5,0.48982601002654086,0.3652314951341787,0.7304629902683574,1.4912703190848884,0.12031849012090826,1.8927789934354484,0.6588615260395638
"frozenset({'biaya_karyawan_high', 'aset_high'})",frozenset({'tenaga_kerja_perempuan_high'}),0.25258035977587734,0.4941020347979947,0.18600707755824242,0.7364273204903677,1.4904357169697624,0.061206607842971855,1.919386964321229,0.4402550393159418
"frozenset({'biaya_karyawan_high', 'jumlah_pelanggan_high'})",frozenset({'tenaga_kerja_laki_laki_high'}),0.24719846652904748,0.48982601002654086,0.18040401061633737,0.7297942141365942,1.4899049850314212,0.05931977207173464,1.888094247661158,0.43679010395969925
"frozenset({'biaya_karyawan_high', 'aset_high'})",frozenset({'tenaga_kerja_laki_laki_high'}),0.25258035977587734,0.48982601002654086,0.18409023886759068,0.7288382953882078,1.487953437484294,0.060369809027504495,1.8814382019903884,0.4387574815562853
"frozenset({'tenaga_kerja_laki_laki_high', 'jumlah_pelanggan_high'})",frozenset({'biaya_karyawan_high'}),0.24358596284281922,0.5,0.18040401061633737,0.7406174334140436,1.4812348668280872,0.05861102919492776,1.9276546091015172,0.4295102966515868
"frozenset({'tenaga_kerja_perempuan_high', 'laba_high'})",frozenset({'biaya_karyawan_high'}),0.2491153052196992,0.5,0.18445886169271603,0.7404557561408701,1.4809115122817402,0.05990120908286642,1.9264538198403651,0.43247679715824794
"frozenset({'tenaga_kerja_perempuan_high', 'omset_high', 'laba_high'})",frozenset({'biaya_karyawan_high'}),0.23790917133588912,0.5,0.17598053671483338,0.7396963123644251,1.4793926247288502,0.05702595104688882,1.920833333333333,0.42520774248017756
"frozenset({'tenaga_kerja_perempuan_high', 'omset_high'})",frozenset({'biaya_karyawan_high'}),0.2491153052196992,0.5,0.18379534060749042,0.7377922462266943,1.4755844924533885,0.059237687997640814,1.906884875846501,0.4292302787520325
